timestamp,env,repetition,compression,network_mbps,read_par,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,table,time
1757577067,env_16c_16c_15.75net,1,nocomp,15.75,1,4,4,1,1,4,4,16,lineitem_sf10,665.42146
1757577329,env_16c_16c_15.75net,1,lz4,15.75,1,4,4,1,1,4,4,16,lineitem_sf10,254.385245
1757577570,env_16c_16c_15.75net,1,lzo,15.75,1,4,4,1,1,4,4,16,lineitem_sf10,233.363731
1757577803,env_16c_16c_15.75net,1,snappy,15.75,1,4,4,1,1,4,4,16,lineitem_sf10,225.369638
1757577975,env_16c_16c_15.75net,1,zstd,15.75,1,4,4,1,1,4,4,16,lineitem_sf10,164.528176
1757578318,env_16c_16c_31.5net,1,nocomp,31.5,1,4,4,1,1,4,4,16,lineitem_sf10,334.4028
1757578454,env_16c_16c_31.5net,1,lz4,31.5,1,4,4,1,1,4,4,16,lineitem_sf10,128.380332
1757578580,env_16c_16c_31.5net,1,lzo,31.5,1,4,4,1,1,4,4,16,lineitem_sf10,118.375376
1757578702,env_16c_16c_31.5net,1,snappy,31.5,1,4,4,1,1,4,4,16,lineitem_sf10,114.383223
1757578793,env_16c_16c_31.5net,1,zstd,31.5,1,4,4,1,1,4,4,16,lineitem_sf10,83.498209
1757578889,env_16c_16c_125net,1,nocomp,125,1,4,4,1,1,4,4,16,lineitem_sf10,87.355836
1757578932,env_16c_16c_125net,1,lz4,125,1,4,4,1,1,4,4,16,lineitem_sf10,35.354268
1757578972,env_16c_16c_125net,1,lzo,125,1,4,4,1,1,4,4,16,lineitem_sf10,32.348676
1757579011,env_16c_16c_125net,1,snappy,125,1,4,4,1,1,4,4,16,lineitem_sf10,31.346187
1757579049,env_16c_16c_125net,1,zstd,125,1,4,4,1,1,4,4,16,lineitem_sf10,30.501012
1757579104,env_16c_16c_250net,1,nocomp,250,1,4,4,1,1,4,4,16,lineitem_sf10,46.331915
1757579141,env_16c_16c_250net,1,lz4,250,1,4,4,1,1,4,4,16,lineitem_sf10,29.363379
1757579179,env_16c_16c_250net,1,lzo,250,1,4,4,1,1,4,4,16,lineitem_sf10,30.35567
1757579217,env_16c_16c_250net,1,snappy,250,1,4,4,1,1,4,4,16,lineitem_sf10,30.342603
1757579255,env_16c_16c_250net,1,zstd,250,1,4,4,1,1,4,4,16,lineitem_sf10,30.462915
1757579294,env_16c_16c_500net,1,nocomp,500,1,4,4,1,1,4,4,16,lineitem_sf10,30.343507
1757579332,env_16c_16c_500net,1,lz4,500,1,4,4,1,1,4,4,16,lineitem_sf10,30.346756
1757579369,env_16c_16c_500net,1,lzo,500,1,4,4,1,1,4,4,16,lineitem_sf10,29.345743
1757579407,env_16c_16c_500net,1,snappy,500,1,4,4,1,1,4,4,16,lineitem_sf10,30.332828
1757579445,env_16c_16c_500net,1,zstd,500,1,4,4,1,1,4,4,16,lineitem_sf10,30.511055
