date,xdbc_version,host,run,server_cpu,client_cpu,network,network_latency,network_loss,source_system,target_system,table,server_bufferpool_size,client_bufferpool_size,buffer_size,compression,format,skip_ser,skip_deser,read_par,read_partitions,deser_par,comp_par,send_par,rcv_par,decomp_par,ser_par,write_par,time,datasize,avg_cpu_server,avg_cpu_client
1749481866051917979,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,1,1,21.605004,475204602,0,0
1749481935059784536,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,1,1,14.608596,475316353,0,0
1749482091800717182,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,1,1,14.560947,475331169,0,0
1749482111696700514,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,2,1,1,1,1,1,1,1,1,14.526269,475341059,0,0
1749482131585236956,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,4,1,1,1,1,1,1,1,1,14.55841,475339357,0,0
1749482151522234331,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,8,1,1,1,1,1,1,1,1,14.543632,475294980,0,0
1749482171512306867,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,16,1,1,1,1,1,1,1,1,14.527713,475319925,0,0
1749482191400107763,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,1,1,14.556836,475344799,0,0
1749482211373820138,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,2,1,1,1,1,1,1,14.570419,475279862,0,0
1749482231191921110,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,4,1,1,1,1,1,1,14.563182,475315655,0,0
1749482251168398573,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,8,1,1,1,1,1,1,14.579907,475299927,0,0
1749482271136877059,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,16,1,1,1,1,1,1,6.553949,141048694,0,0
1749482283070089353,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,1,1,14.540719,475308005,0,0
1749482302890729478,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,2,1,1,1,1,1,14.572635,475331810,0,0
1749482322770302442,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,4,1,1,1,1,1,14.53248,475351568,0,0
1749482342589276601,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,8,1,1,1,1,1,14.571529,475333458,0,0
1749482362542160762,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,16,1,1,1,1,1,14.549989,475343144,0,0
1749482382360588548,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,1,1,14.575927,475335797,0,0
1749482402114135037,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,2,1,1,14.489001,475373322,0,0
1749482421780187407,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,4,1,1,14.473278,475358813,0,0
1749482441307617134,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,8,1,1,14.467511,475369362,0,0
1749482460881690802,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,16,1,1,14.474775,475353654,0,0
1749482480395514947,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,1,1,14.468024,475339805,0,0
1749482499913031977,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,2,1,8.455811,475318344,0,0
1749482513390336192,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,4,1,5.456681,475270890,0,0
1749482523881364583,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,8,1,5.471349,475309632,0,0
1749482534401557074,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,16,1,5.453768,475341048,0,0
1749482544942703176,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,1,1,14.463188,475343731,0,0
1749482564525579999,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,1,2,14.461297,475337069,0,0
1749482584034624395,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,1,4,14.46146,475327858,0,0
1749482603584187152,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,1,8,14.46438,475289513,0,0
1749482623099640441,11,midhun-pc,1,16,16,0,0,0,csv,csv,ss13husallm,1966080,1966080,65536,snappy,1,0,0,1,1,1,1,1,1,1,1,16,14.478375,475211199,0,0
