timestamp,env,repetition,bufferpool_size,buffer_size,table,time
1756072279,test,1,2048,16,lineitem_sf10_nocomp,35.303879
1756072316,test,1,2048,32,lineitem_sf10_nocomp,29.699065
1756072349,test,1,2048,64,lineitem_sf10_nocomp,25.917205
1756072392,test,1,4096,16,lineitem_sf10_nocomp,35.204706
1756072428,test,1,4096,32,lineitem_sf10_nocomp,28.596776
1756072463,test,1,4096,64,lineitem_sf10_nocomp,26.981545
1756072494,test,1,4096,128,lineitem_sf10_nocomp,23.571743
1756072537,test,1,8192,16,lineitem_sf10_nocomp,35.286219
1756072573,test,1,8192,32,lineitem_sf10_nocomp,28.676819
1756072607,test,1,8192,64,lineitem_sf10_nocomp,25.951282
1756072638,test,1,8192,128,lineitem_sf10_nocomp,23.594411
1756072668,test,1,8192,256,lineitem_sf10_nocomp,22.365824
1756072710,test,1,16384,16,lineitem_sf10_nocomp,34.330188
1756072747,test,1,16384,32,lineitem_sf10_nocomp,29.781646
1756072781,test,1,16384,64,lineitem_sf10_nocomp,25.962369
1756072812,test,1,16384,128,lineitem_sf10_nocomp,23.582104
1756072842,test,1,16384,256,lineitem_sf10_nocomp,22.394506
1756072871,test,1,16384,512,lineitem_sf10_nocomp,21.300562
1756072912,test,1,32768,16,lineitem_sf10_nocomp,34.116362
1756072949,test,1,32768,32,lineitem_sf10_nocomp,28.752084
1756072983,test,1,32768,64,lineitem_sf10_nocomp,26.989033
1756073014,test,1,32768,128,lineitem_sf10_nocomp,23.60519
1756073046,test,1,32768,256,lineitem_sf10_nocomp,23.415828
1756073076,test,1,32768,512,lineitem_sf10_nocomp,23.327096
1756073106,test,1,32768,1024,lineitem_sf10_nocomp,22.281099
1756073150,test,1,65536,16,lineitem_sf10_nocomp,36.262611
1756073188,test,1,65536,32,lineitem_sf10_nocomp,30.793509
1756073221,test,1,65536,64,lineitem_sf10_nocomp,24.99704
1756073253,test,1,65536,128,lineitem_sf10_nocomp,24.668057
1756073283,test,1,65536,256,lineitem_sf10_nocomp,22.44997
1756073313,test,1,65536,512,lineitem_sf10_nocomp,22.366941
1756073343,test,1,65536,1024,lineitem_sf10_nocomp,22.348606
