timestamp,env,repetition,system,network,table,time
1752174061,figure_parquet_csv,1,duckdb,0,lineitem_sf10,45.178455
1752174107,figure_parquet_csv,1,duckdb,0,ss13husallm,25.797106
1752174132,figure_parquet_csv,1,duckdb,0,iotm,78.087752
1752174210,figure_parquet_csv,1,duckdb,0,inputeventsm,21.630204
1752174234,figure_parquet_csv,1,duckdb,125,lineitem_sf10,65.332798
1752174299,figure_parquet_csv,1,duckdb,125,ss13husallm,29.132959
1752174328,figure_parquet_csv,1,duckdb,125,iotm,85.547067
1752174414,figure_parquet_csv,1,duckdb,125,inputeventsm,24.938618
1752203328,figure_parquet_csv,1,xdbc[col],0,lineitem_sf10,-1
1752203345,figure_parquet_csv,1,xdbc[col-snappy],0,lineitem_sf10,-1
1752260364,figure_parquet_csv,1,duckdb,0,lineitem_sf10,47.65211
1752260412,figure_parquet_csv,1,duckdb,0,ss13husallm,27.026774
1752260439,figure_parquet_csv,1,duckdb,0,iotm,78.945902
1752260518,figure_parquet_csv,1,duckdb,0,inputeventsm,22.698455
1752260542,figure_parquet_csv,1,duckdb,125,lineitem_sf10,66.961204
1752260609,figure_parquet_csv,1,duckdb,125,ss13husallm,29.128077
1752260638,figure_parquet_csv,1,duckdb,125,iotm,85.767656
1752260724,figure_parquet_csv,1,duckdb,125,inputeventsm,25.013986
1752260786,figure_parquet_csv,1,xdbc[col],0,lineitem_sf10,29.651593
1752260822,figure_parquet_csv,1,xdbc[col-snappy],0,lineitem_sf10,29.695991
1752260855,figure_parquet_csv,1,xdbc[parquet],0,lineitem_sf10,26.712038
1752260889,figure_parquet_csv,1,xdbc[parquet-snappy],0,lineitem_sf10,26.722793
1752260907,figure_parquet_csv,1,xdbc[col],0,ss13husallm,11.683865
1752260924,figure_parquet_csv,1,xdbc[col-snappy],0,ss13husallm,11.729115
1752260941,figure_parquet_csv,1,xdbc[parquet],0,ss13husallm,10.755733
1752260958,figure_parquet_csv,1,xdbc[parquet-snappy],0,ss13husallm,10.742637
1752260998,figure_parquet_csv,1,xdbc[col],0,iotm,33.701615
1752261039,figure_parquet_csv,1,xdbc[col-snappy],0,iotm,34.736551
1752261069,figure_parquet_csv,1,xdbc[parquet],0,iotm,23.751971
1752261099,figure_parquet_csv,1,xdbc[parquet-snappy],0,iotm,23.749687
1752261116,figure_parquet_csv,1,xdbc[col],0,inputeventsm,10.713011
1752261133,figure_parquet_csv,1,xdbc[col-snappy],0,inputeventsm,10.710307
1752261148,figure_parquet_csv,1,xdbc[parquet],0,inputeventsm,9.677971
1752261164,figure_parquet_csv,1,xdbc[parquet-snappy],0,inputeventsm,9.680991
1752261260,figure_parquet_csv,1,xdbc[col],125,lineitem_sf10,86.717976
1752261298,figure_parquet_csv,1,xdbc[col-snappy],125,lineitem_sf10,30.693411
1752261333,figure_parquet_csv,1,xdbc[parquet],125,lineitem_sf10,27.743466
1752261368,figure_parquet_csv,1,xdbc[parquet-snappy],125,lineitem_sf10,27.713331
1752261390,figure_parquet_csv,1,xdbc[col],125,ss13husallm,15.699944
1752261408,figure_parquet_csv,1,xdbc[col-snappy],125,ss13husallm,11.720404
1752261426,figure_parquet_csv,1,xdbc[parquet],125,ss13husallm,10.734537
1752261443,figure_parquet_csv,1,xdbc[parquet-snappy],125,ss13husallm,10.723602
1752261486,figure_parquet_csv,1,xdbc[col],125,iotm,35.73987
1752261528,figure_parquet_csv,1,xdbc[col-snappy],125,iotm,34.74564
1752261559,figure_parquet_csv,1,xdbc[parquet],125,iotm,24.779772
1752261591,figure_parquet_csv,1,xdbc[parquet-snappy],125,iotm,24.790575
1752261629,figure_parquet_csv,1,xdbc[col],125,inputeventsm,31.672774
1752261647,figure_parquet_csv,1,xdbc[col-snappy],125,inputeventsm,10.767012
1752261664,figure_parquet_csv,1,xdbc[parquet],125,inputeventsm,9.696982
1752261680,figure_parquet_csv,1,xdbc[parquet-snappy],125,inputeventsm,9.716064
